Unnamed: 0,ACES_1,ACES_2,BPOF_1,BPOF_2,BP_1,BP_2,DF_1,DF_2,FSOF_1,FSOF_2,FS_1,FS_2,ID1,ID2,RESULT_G,RPWOF_1,RPWOF_2,RPW_1,RPW_2,TPW_1,TPW_2,W1SOF_1,W1SOF_2,W1S_1,W1S_2,WIS_1,WIS_2,eloLoser,eloWinner,win
2787,3.682844400405884,4.649828910827637,7.92473030090332,4.191347599029541,1.3344603776931765,2.4019651412963867,3.683782339096069,1.284832239151001,72.30968475341797,77.0541000366211,44.86961364746094,52.60691452026367,5127,520,31,76.08777618408203,63.33183670043945,25.03655433654785,20.59796524047852,69.83876037597656,69.48706817626953,44.86961364746094,52.60691452026367,31.31950569152832,36.03932571411133,13.48270034790039,12.849774360656738,1624.5463684749561,1623.3160496502514,0
2788,5.026573657989502,5.17997932434082,3.8891372680664062,4.194983959197998,2.1973438262939453,1.772299885749817,1.755411148071289,1.0621240139007568,62.60165786743164,73.76286315917969,41.354740142822266,50.90672302246094,3833,1672,22,66.26165771484375,75.78729248046875,23.73417854309082,26.176557540893555,65.74275207519531,78.79579162597656,41.354740142822266,50.90672302246094,30.06315612792969,38.81789779663086,11.945414543151855,13.8013334274292,1632.965738943329,1542.3119038927755,0
2789,8.064606666564941,1.6364232301712036,3.6842153072357178,7.233734130859375,1.715624451637268,2.8890788555145264,1.9490731954574585,1.980443835258484,74.228515625,74.10071563720703,49.85467147827149,46.87442016601562,762,3492,19,76.53324890136719,80.3681869506836,24.619985580444336,31.2593994140625,74.88982391357422,79.5600357055664,49.85467147827149,46.87442016601562,39.70265579223633,32.595081329345696,10.567176818847656,15.705551147460938,1632.8180178982655,1575.4754406358509,0
2790,2.3335962295532227,5.137492656707764,4.370901107788087,4.603483200073242,1.0824054479599,2.2127704620361333,2.9757778644561768,1.952420711517334,78.1006851196289,79.19146728515625,53.92350769042969,49.03911972045898,26923,3996,21,69.99470520019531,66.80237579345703,20.64480781555176,24.799894332885746,67.91655731201172,73.28129577636719,53.92350769042969,49.03911972045898,35.16656494140625,35.02690887451172,12.105175971984865,13.454490661621096,1565.6746654803385,1526.3187490554956,0
2791,5.117760181427002,5.493776798248291,3.375927686691284,6.909544467926025,1.311367392539978,3.5526812076568604,3.9286775588989262,2.077332258224488,78.80852508544922,64.21781921386719,45.37691116333008,38.81936645507813,563,8396,17,65.55802154541016,68.96066284179689,19.37761878967285,29.210166931152344,64.22174835205078,73.8753433227539,45.37691116333008,38.81936645507813,29.779062271118164,30.6964111328125,15.065071105957033,13.96876621246338,1642.7126803896579,1643.562364770423,0
2792,6.9860172271728525,3.8388547897338867,3.13518500328064,6.2316322326660165,1.4550260305404663,2.033010482788086,1.5035924911499023,2.033010482788086,63.42402267456055,68.05364990234375,44.79895401000977,39.959556579589844,22433,6431,25,66.20321655273439,69.14190673828125,22.722373962402344,26.69562530517578,61.14196395874024,69.0904541015625,44.79895401000977,39.959556579589844,30.19654083251953,26.55280303955078,8.223045349121094,15.842025756835938,1529.7802571085501,1480.6953234954403,0
2793,7.22450590133667,4.843784809112549,7.923010349273682,5.509541034698486,1.4578574895858765,1.0927468538284302,2.0410826206207275,3.173985242843628,78.45450592041016,78.46926879882812,51.70808792114258,53.23307800292969,10014,13576,23,80.91426849365234,66.80991363525389,27.41946601867676,21.548377990722656,78.92244720458984,71.56166076660156,51.70808792114258,53.23307800292969,37.47100830078125,38.487003326416016,14.031974792480467,11.526280403137207,1566.4999213080405,1430.714715287914,0
2794,7.569478988647461,7.068548679351808,4.5720086097717285,5.861514568328857,2.513598680496216,2.245250701904297,1.9986811876297,5.18592643737793,108.83584594726562,67.39010620117189,63.47996520996094,41.37356567382813,12587,5103,35,105.1767349243164,69.96572875976561,32.55370330810547,26.45381164550781,106.87914276123048,66.60034942626953,63.47996520996094,41.37356567382813,46.52167129516602,29.76726531982422,27.80376625061035,10.37926959991455,1576.052164442178,1418.8368311326356,0
2795,1.3945547342300415,4.6277055740356445,5.854200839996338,8.596924781799316,1.6867303848266602,2.6299893856048584,1.3678556680679321,2.2968978881835938,73.79499053955078,61.75700378417969,50.79949951171875,38.080238342285156,16994,10465,22,66.08817291259766,78.76026916503906,22.55822563171387,30.99895477294922,65.89295196533203,74.132568359375,50.79949951171875,38.080238342285156,32.04872512817383,29.60043525695801,11.28600025177002,13.533173561096193,1670.4605982502544,1447.9472969612375,0
2796,6.573987483978272,6.4426536560058585,4.7465500831604,8.962903022766113,1.0648775100708008,1.963126301765442,0.7565945982933044,1.2329105138778689,79.45801544189453,63.48273849487305,50.77325820922852,41.567630767822266,19689,4084,19,66.75676727294922,78.3450927734375,21.41375160217285,30.33737754821777,67.56246185302734,77.41291809082031,50.77325820922852,41.567630767822266,33.24660110473633,34.28369903564453,12.902107238769533,12.791844367980955,1615.1356863110861,1430.655024250143,0
